Account ID,Contract ID,Contract Start Date,Contract End Date,Status,Contract Type,Recurrence,Billing Amount (converted),6 months Opt Out,Opt Out Exercised
0011n00002Su4vi,8001n000008mKgAAAU,2021-02-19,2022-02-19,Signed,New Business,Recurrent,1600.0,True,False
0010Y000005DSng,8000Y000000jhXKQAY,2018-06-01,2019-05-31,Signed,Upsell,Monthly,1500.0,False,False
0010Y000005DSng,8000Y000002fQeLQAU,2018-03-01,2018-05-31,Signed,Trial,Non-Recurrent,833.33,False,False
0011n00001pYB8m,8001n000003hqyuAAA,2018-11-21,2019-06-01,Signed,New Business,Monthly,1500.0,False,False
0011n000026QmWo,8001n000004yrSjAAI,2019-07-03,2020-01-01,Signed,New Business,Monthly,1150.0,False,False
0010Y000010OnqA,8001n000008mhTqAAI,2021-06-02,2022-06-02,Signed,New Business,Recurrent,1750.0,True,False
0010Y000014o4US,8000Y000002fBUrQAM,2018-02-09,,Signed,New Business,Monthly,1800.0,False,False
0010Y00001D6BgN,8000Y000002fcLRQAY,2018-03-05,,Signed,New Business,Monthly,1600.0,False,False
0011n00002AyBRB,8001n000008mae0AAA,2021-05-10,2022-05-10,Signed,New Business,Recurrent,1000.0,True,False
0011n00001rystk,8001n000004XW2BAAW,2019-03-08,2019-06-01,Signed,Downsell,Monthly,1000.0,False,False
0011n00001rystk,8001n000003iCw3AAE,2018-12-14,2019-03-08,Signed,New Business,Monthly,1900.0,False,False
0011n00001ryJ5X,8001n000003iR4hAAE,2019-01-07,2020-01-06,Signed,New Business,Monthly,2200.0,False,False
0011n00001ryrwD,8001n000003iCrDAAU,2018-12-14,2019-05-21,Signed,New Business,Monthly,1600.0,False,False
0011n00001ryUTM,8001n000003j22CAAQ,2019-02-06,2020-02-05,Signed,New Business,Monthly,1900.0,False,False
0011n00001rybgm,8001n000003iHoNAAU,2019-01-02,2019-06-05,Signed,New Business,Monthly,1200.0,False,False
0011n00002MWPss,8001n000004azEEAAY,2021-08-31,2022-08-30,Signed,New Business,Recurrent,1442.3,False,False
0011n00002MYuBz,8001n000008mLaDAAU,2021-03-15,2022-03-14,Signed,New Business,Recurrent,2000.0,True,False
0011n00002J0aVG,8001n000008mRBYAA2,2021-03-29,,Signed,New Business,Recurrent,550.0,False,False
0011n00002Sv0Hv,8001n000008m0KhAAI,2020-10-27,2021-02-08,Signed,New Business,Recurrent,2358.0,True,False
0011n00002Sv0Hv,8001n000008mJRYAA2,2021-02-09,2021-03-01,Signed,Downsell,Recurrent,1818.0,True,False
0011n00002Sv0Hv,8001n000008mNmaAAE,2021-03-02,2022-03-01,Signed,Renewal,Recurrent,1818.0,False,False
0011n00002ZsTIU,8001n000008mKTQAA2,2021-02-18,2022-02-18,Signed,New Business,Recurrent,2500.0,True,False
0011n00002IxPvD,8001n000008mQ8JAAU,2021-04-01,2022-03-15,Signed,New Business,Recurrent,2500.0,False,False
0011n00002NuKeg,8001n000008mBeUAAU,2021-01-04,2021-07-01,Signed,New Business,Recurrent,1250.0,True,True
0011n00002FMnlt,8001n000008mBWzAAM,2020-12-17,2021-12-17,Signed,New Business,Recurrent,2095.0,True,False
0011n00002FMnlt,8001n000004bKYHAA2,2021-12-18,2022-12-17,Signed,Renewal,Recurrent,2199.75,False,False
0011n00002YtrhA,8001n000008mL5jAAE,2021-02-24,2022-02-23,Signed,New Business,Recurrent,2128.0,False,False
0011n00002YtrlW,8001n000008mIfFAAU,2021-02-04,2022-02-04,Signed,New Business,Recurrent,1500.0,False,False
0011n00002NuTly,8001n000005X8tzAAC,2020-05-06,2021-05-06,Signed,New Business,Recurrent,1350.0,True,False
0011n00002NuTly,8001n000005X92wAAC,2021-05-06,2022-05-07,Signed,Renewal,Recurrent,1350.0,False,False
0011n00002NuTly,8001n000008lqGzAAI,2020-08-20,2021-05-06,Signed,Upsell,Recurrent,125.0,True,False
0011n00002Nw7Dq,8001n000004azDQAAY,2021-09-01,2022-09-01,Signed,Renewal,Recurrent,2205.0,False,False
0011n00002Nw7Dq,8001n000008lpj7AAA,2020-09-01,2021-09-01,Signed,New Business,Recurrent,2100.0,True,False
0011n00002M1WDa,8001n000005WzLWAA0,2020-03-04,2020-12-01,Signed,New Business,Recurrent,900.0,False,False
0011n00002D3UcX,8001n000008mVDnAAM,2021-07-09,2022-07-09,Signed,Downsell,Recurrent,895.0,False,False
0011n00002D3UcX,8001n000006PnsRAAS,2019-09-26,2021-07-09,Signed,New Business,Recurrent,1750.0,False,False
0011n00002D3UcX,8001n000005WmRGAA0,2019-12-18,2021-07-09,Signed,Upsell,Recurrent,250.0,False,False
0011n00002D3UcX,8001n000005XJPwAAO,2020-06-15,2021-07-09,Signed,Upsell,Recurrent,232.5,False,False
0011n00002D3UcX,8001n000008ltzEAAQ,2020-09-17,2021-07-09,Signed,Upsell,Recurrent,100.0,False,False
0011n00001m00BN,8001n0000034WagAAE,2018-10-09,2019-01-02,Signed,New Business,Monthly,1700.0,False,False
0011n00001m00BN,8001n000003iRtuAAE,2019-01-03,2019-05-02,Signed,Downsell,Monthly,1000.0,False,False
0011n00001m00BN,8001n000004GkQQAA0,2019-02-08,2019-05-02,Signed,Upsell,Non-Recurrent,400.0,False,False
